0,Orig Order,Concept Name,Canonical Name,Rank,Section,Status,Link,Further Info
21200,47,  - [Anonymous functions][anonymous_functions],lambdas,50,B,,,
21300,48,  - [Higher-order functions][higher_order_functions],higherl-order-functions,50,B,,,
21400,51,- [LINQ][linq],linq,50,B,,,
21500,137,- Anonymous types,anonymous-types,50,B,,,
21600,144,  - Enumerables,enumerables,50,B,,,
21700,52,  - Advanced (GroupBy; Join; Zip; Cast; GroupJoin; AsEnumerable),linq-advanced,55,B,,,
21800,54,  - Query Syntax,linq-query-syntax,55,B,,,
21900,55,  - SelectMany,linq-select-many,55,B,,,
22000,73,  - Iterators (yield),yield,55,B,,,
22200,53,  - Method Classification (deferred; non-streaming etc.),,700,B,,,background
22300,82,- Concurrency,,700,B,,,background
22400,68,  - Collections: combining,collections-combining,800,B,D,,linq
22500,69,  - Collections: filtering,collections-filtering,800,B,D,,linq
22600,70,  - Collections: mapping,collections-mapping,800,B,D,,linq
22700,71,  - Collections: ordering,collections-ordering,800,B,D,,linq
22800,72,  - Collections: reducing,collections-reduciing,800,B,D,,linq
22900,98,  - [Enumeration: for loop][enumeration],for-loops,800,B,,,arrays
23000,99,  - [Enumeration: foreach loop][enumeration],foreach-loops,800,B,,,arrays
23091,99900,,,0,Z,,,
23092,99900,Advanced C# Topics,,0,Z,,,
23093,99900,,,0,Z,,,
23100,145,  - Immutable collections,immutable-collections,28,C,,,
23200,117,  - Resource passing (by reference/by value),by-ref,30,C,,,
23300,118,  - [Resource allocation][memory_allocation],memory-allocation,30,C,I,https://github.com/exercism/v3/issues/1018,
23400,147,  - [Queues][queue],queues,30,C,,,
23500,148,  - [Ranges][range],ranges,30,C,,,
23600,152,  - Time zones,time-zones,30,C,,,
23700,119,- Resource Pooling,resource-pooling,30,C,I,https://github.com/exercism/v3/issues/1146,
23800,154,- dynamic,dynamic,30,C,,,
23900,49,  - [Local functions][local_functions],local-functions,45,C,,,
24000,94,  - Boxing/unboxing,boxing,45,C,,,
24100,125,- Slicing,slicing,45,C,,,
24200,130,- Unsafe code,unsafe-code,45,C,,,
24300,159,- Lazy&lt;T&gt;,lazy<T>,45,C,,,
24400,165,- Pointers,pointsers,45,C,I,https://github.com/exercism/v3/issues/1147,
24500,142,  - multi-dimensional array (incl Array.CreateInstance,multi-dimensional-array,45,C,,,
24510,50, - [Immutability][immutability] - public readonly structs,immutability,45,C,,,
24600,150,  - [Stacks][stack],stacks,48,C,,,
24700,22,  - Destructors,destructors,49,C,,,
24800,74,    - Async iterators,aysnc-iterators,49,C,,,
24900,171,ref local; ref return,ref-local,49,C,,,
24910,175,Dispose Pattern,dispose-pattern,49,C,,,
99900,1,,,,,,,
99900,2,,,,,,,
99900,3,,,,,,,
99900,4,,,,,,,
99900,5,,,,,,,
99900,6,,,,,,,
99900,7,,,,,,,
99900,8,,,,,,,
99900,9,,,,,,,
99900,10,,,,,,,
99900,39,,,,,,,
99900,40,,,,,,,
99900,41,,,,,,,
99900,42,,,,,,,
99900,43,,,,,,,
99900,62,,,,,,,
99900,63,,,,,,,
99900,64,,,,,,,
99900,134,,,,,,,
99900,135,,,,,,,
99900,136,,,,,,,
